,distance (m),,,
0.38559,0.25093,0.40504,0.41944,0.43005
0.38685,0.25463,0.4051,0.42307,0.42567
0.38812,0.25688,0.40194,0.43372,0.42193
0.38938,0.2522,0.39844,0.42334,0.42228
0.39064,0.25825,0.40194,0.41825,0.42329
0.39191,0.25362,0.39748,0.41964,0.42762
0.39317,0.26416,0.40308,0.41601,0.41827
0.39444,0.25535,0.41021,0.41669,0.41765
0.3957,0.25729,0.3986,0.42184,0.42212
0.39697,0.2531,0.40443,0.41723,0.41907
0.39823,0.2517,0.40328,0.41737,0.42825
0.39949,0.25554,0.40435,0.4241,0.42656
0.40076,0.26271,0.40523,0.421,0.42159
0.40202,0.25827,0.39398,0.41542,0.41862
0.40329,0.25245,0.39261,0.42339,0.42743
0.40455,0.25228,0.40298,0.41981,0.4264
0.40582,0.25764,0.39515,0.41939,0.41877
0.40708,0.258,0.39528,0.41155,0.4168
0.40834,0.25792,0.39984,0.41237,0.41956
0.40961,0.25002,0.39796,0.42038,0.41512
0.41087,0.25119,0.40098,0.40812,0.417
0.41214,0.25708,0.40076,0.42281,0.41558
0.4134,0.25178,0.40074,0.41258,0.41171
0.41466,0.25704,0.39135,0.40945,0.41239
0.41593,0.25282,0.39498,0.42225,0.4172
0.41719,0.24767,0.39465,0.41826,0.41528
0.41846,0.25496,0.39681,0.40896,0.41876
0.41972,0.25622,0.39449,0.40617,0.41181
0.42099,0.24938,0.39406,0.40813,0.41219
0.42225,0.24578,0.39583,0.41097,0.41989
0.42351,0.24531,0.3964,0.41209,0.41482
0.42478,0.25154,0.3987,0.40885,0.41125
0.42604,0.25279,0.39469,0.41765,0.4121
0.42731,0.24604,0.39691,0.40929,0.4197
0.42857,0.24727,0.39939,0.40629,0.4155
0.42984,0.25471,0.39317,0.40711,0.41323
0.4311,0.24835,0.39409,0.40569,0.41044
0.43236,0.25653,0.39914,0.41293,0.41197
0.43363,0.2439,0.39451,0.40654,0.41291
0.43489,0.2519,0.39624,0.41017,0.4123
0.43616,0.25162,0.399,0.40916,0.40564
0.43742,0.24896,0.39574,0.40603,0.41237
0.43869,0.24425,0.39009,0.40692,0.41293
0.43995,0.24808,0.39076,0.4072,0.40581
0.44121,0.24657,0.39806,0.40908,0.40834
0.44248,0.25091,0.39516,0.40311,0.40533
0.44374,0.25163,0.3834,0.40393,0.41109
0.44501,0.24152,0.38799,0.40519,0.40797
0.44627,0.24754,0.39838,0.40638,0.41382
0.44753,0.24794,0.38739,0.40979,0.40654
0.4488,0.24513,0.3859,0.40264,0.40434
0.45006,0.23633,0.38301,0.39701,0.40798
0.45133,0.24111,0.39148,0.4002,0.41015
0.45259,0.24758,0.39259,0.40727,0.40964
0.45386,0.24875,0.38662,0.4087,0.40831
0.45512,0.24722,0.38248,0.40392,0.40086
0.45638,0.24211,0.38403,0.40046,0.40912
0.45765,0.24851,0.38574,0.40718,0.40604
0.45891,0.24309,0.38518,0.40859,0.41028
0.46018,0.24468,0.38103,0.40539,0.4065
0.46144,0.24597,0.38806,0.40017,0.41102
0.46271,0.24486,0.38629,0.40514,0.40645
0.46397,0.24116,0.38148,0.40408,0.40205
0.46523,0.2462,0.38166,0.40459,0.40694
0.4665,0.24457,0.38336,0.40451,0.40098
0.46776,0.24643,0.38061,0.39932,0.40678
0.46903,0.24585,0.38782,0.40193,0.41038
0.47029,0.24275,0.38547,0.40619,0.40652
0.47155,0.24493,0.37933,0.40041,0.40358
0.47282,0.24783,0.3778,0.39859,0.40497
0.47408,0.2403,0.39219,0.40049,0.40596
0.47535,0.24443,0.38639,0.40274,0.40746
0.47661,0.24646,0.38902,0.40449,0.39895
0.47788,0.2442,0.38683,0.39973,0.39911
0.47914,0.24529,0.38081,0.39622,0.4103
0.4804,0.23622,0.38738,0.39327,0.39976
0.48167,0.24348,0.38941,0.39702,0.39626
0.48293,0.2484,0.3793,0.39914,0.39984
0.4842,0.24659,0.3827,0.39871,0.4001
0.48546,0.24142,0.37878,0.39498,0.39501
0.48673,0.23524,0.38636,0.40618,0.40578
0.48799,0.24327,0.38433,0.40208,0.40523
0.48925,0.24387,0.3825,0.39665,0.4002
0.49052,0.2384,0.37796,0.39965,0.3995
0.49178,0.23736,0.38046,0.40217,0.39853
0.49305,0.24151,0.38016,0.39692,0.40786
0.49431,0.23985,0.38274,0.39704,0.39558
0.49558,0.2405,0.38062,0.39369,0.39656
0.49684,0.24009,0.37878,0.39645,0.4031
0.4981,0.23689,0.37894,0.39576,0.39897
0.49937,0.23611,0.38576,0.39227,0.39705
0.50063,0.23983,0.38153,0.39903,0.40304
0.5019,0.24716,0.37664,0.38658,0.39376
0.50316,0.23829,0.37762,0.38914,0.39927
0.50442,0.23711,0.37962,0.38991,0.39914
0.50569,0.24037,0.38207,0.39382,0.39544
0.50695,0.23926,0.37477,0.38964,0.39064
0.50822,0.23893,0.37436,0.39267,0.39299
0.50948,0.23469,0.38128,0.38877,0.4005
0.51075,0.23153,0.37535,0.38869,0.39836
0.51201,0.23418,0.3805,0.39451,0.398
0.51327,0.23485,0.3789,0.38513,0.39104
0.51454,0.24216,0.37452,0.39083,0.39412
0.5158,0.23975,0.3692,0.38907,0.39049
0.51707,0.22978,0.37639,0.39162,0.38878
0.51833,0.24011,0.3815,0.38868,0.39387
0.5196,0.23841,0.37362,0.38985,0.38325
0.52086,0.24309,0.36583,0.38222,0.3935
0.52212,0.23797,0.36829,0.39124,0.38755
0.52339,0.23665,0.3763,0.3914,0.39098
0.52465,0.23639,0.37315,0.39492,0.38926
0.52592,0.23151,0.36493,0.38326,0.39025
0.52718,0.23385,0.37694,0.3889,0.38764
0.52845,0.23696,0.3698,0.38951,0.39097
0.52971,0.23378,0.37466,0.38594,0.39185
0.53097,0.2361,0.36849,0.38832,0.38755
0.53224,0.23576,0.36788,0.38511,0.39261
0.5335,0.23886,0.36462,0.3828,0.38657
0.53477,0.23355,0.37663,0.38514,0.38512
0.53603,0.23518,0.37078,0.3785,0.38645
0.53729,0.2388,0.37275,0.38155,0.38701
0.53856,0.23561,0.36794,0.38014,0.38554
0.53982,0.23119,0.36681,0.38025,0.39104
0.54109,0.23236,0.3744,0.37941,0.38724
0.54235,0.24212,0.37139,0.38705,0.38271
0.54362,0.23876,0.36826,0.3836,0.38573
0.54488,0.23336,0.37167,0.38741,0.38782
0.54614,0.23457,0.3696,0.38838,0.38607
0.54741,0.22666,0.37215,0.38532,0.38697
0.54867,0.23327,0.35957,0.38467,0.38364
0.54994,0.23604,0.36375,0.37753,0.3839
0.5512,0.23128,0.3691,0.38553,0.38731
0.55247,0.2268,0.37064,0.38337,0.38863
0.55373,0.23229,0.36925,0.38343,0.38515
0.55499,0.23463,0.36536,0.3811,0.38548
0.55626,0.23231,0.36456,0.37614,0.3859
0.55752,0.23295,0.36967,0.38091,0.38364
0.55879,0.22096,0.37319,0.38382,0.38811
0.56005,0.23366,0.37123,0.38308,0.38394
0.56131,0.23261,0.36557,0.37917,0.38514
0.56258,0.22662,0.3701,0.38143,0.37973
0.56384,0.22311,0.36671,0.38122,0.38955
0.56511,0.22963,0.36469,0.37695,0.38293
0.56637,0.22493,0.36615,0.37663,0.38371
0.56764,0.22917,0.36746,0.37647,0.3784
0.5689,0.22837,0.36375,0.37258,0.37768
0.57016,0.22845,0.37071,0.37853,0.38025
0.57143,0.23237,0.37004,0.37997,0.38089
0.57269,0.23283,0.36302,0.37305,0.38012
0.57396,0.22527,0.35713,0.37538,0.38503
0.57522,0.21875,0.3676,0.36747,0.37831
0.57649,0.22673,0.37121,0.37085,0.38536
0.57775,0.2236,0.36823,0.38927,0.38051
0.57901,0.22901,0.3631,0.37266,0.37894
0.58028,0.22611,0.35756,0.37347,0.37804
0.58154,0.22406,0.36221,0.38235,0.38138
0.58281,0.22914,0.36308,0.37637,0.38745
0.58407,0.22801,0.35577,0.3776,0.38327
0.58534,0.22283,0.35837,0.38011,0.38442
0.5866,0.22409,0.36314,0.37233,0.38085
0.58786,0.22298,0.36177,0.37872,0.37755
0.58913,0.23191,0.36221,0.375,0.38421
0.59039,0.22957,0.35251,0.37603,0.37074
0.59166,0.2171,0.34609,0.3691,0.3782
0.59292,0.22254,0.36,0.37716,0.37532
0.59418,0.22962,0.36598,0.3721,0.38053
0.59545,0.22648,0.35984,0.38249,0.37801
0.59671,0.22675,0.35385,0.37425,0.37471
0.59798,0.22394,0.35313,0.3694,0.37695
0.59924,0.21892,0.35763,0.37787,0.38222
0.60051,0.22964,0.35281,0.37325,0.37749
0.60177,0.22896,0.35438,0.36909,0.36889
0.60303,0.23048,0.35115,0.36588,0.3775
0.6043,0.22482,0.35443,0.37164,0.37315
0.60556,0.23096,0.35556,0.37607,0.37514
0.60683,0.22694,0.35201,0.36987,0.37955
0.60809,0.22701,0.35414,0.38177,0.37341
0.60936,0.2355,0.34955,0.3634,0.37093
0.61062,0.22306,0.35524,0.37184,0.37745
0.61188,0.22909,0.35477,0.37242,0.37477
0.61315,0.22567,0.35673,0.37043,0.37367
0.61441,0.22131,0.35325,0.36618,0.37281
0.61568,0.22262,0.3572,0.36947,0.36917
0.61694,0.22501,0.35065,0.36916,0.37719
0.6182,0.22929,0.3559,0.37098,0.37612
0.61947,0.22447,0.35543,0.3685,0.37235
0.62073,0.22783,0.34969,0.36903,0.3719
0.622,0.21469,0.35248,0.36451,0.3801
0.62326,0.22152,0.35356,0.36824,0.37341
0.62453,0.22102,0.3567,0.36195,0.36798
0.62579,0.22116,0.35722,0.35503,0.36589
0.62705,0.22368,0.35113,0.37269,0.37196
0.62832,0.21813,0.35343,0.36815,0.37522
0.62958,0.2162,0.35598,0.3664,0.36995
0.63085,0.22425,0.35446,0.36953,0.36861
0.63211,0.21874,0.35049,0.36259,0.36766
0.63338,0.21524,0.34597,0.36403,0.36421
0.63464,0.22156,0.35015,0.36871,0.36483
0.6359,0.22367,0.34637,0.36376,0.37287
0.63717,0.22393,0.35035,0.36064,0.36617
0.63843,0.22103,0.34735,0.35714,0.36726
0.6397,0.22066,0.34044,0.36083,0.36392
0.64096,0.22106,0.34727,0.36634,0.36069
0.64223,0.2189,0.35094,0.36807,0.36529
0.64349,0.22053,0.34014,0.3643,0.36786
0.64475,0.22182,0.34319,0.3608,0.36362
0.64602,0.22353,0.34498,0.36201,0.37194
0.64728,0.22141,0.34225,0.36144,0.36799
0.64855,0.21922,0.34942,0.36398,0.36208
0.64981,0.21826,0.34385,0.36131,0.36169
0.65107,0.22151,0.34534,0.35148,0.36973
0.65234,0.21467,0.34372,0.35731,0.36549
0.6536,0.21899,0.34915,0.36307,0.36436
0.65487,0.22564,0.34674,0.36003,0.36512
0.65613,0.2204,0.34421,0.36068,0.3563
0.6574,0.21907,0.34729,0.3607,0.36349
0.65866,0.21852,0.34053,0.36314,0.36805
0.65992,0.21987,0.34547,0.36311,0.3663
0.66119,0.21994,0.34406,0.36251,0.36203
0.66245,0.21923,0.34169,0.35713,0.35663
0.66372,0.21717,0.34744,0.35828,0.36562
0.66498,0.21468,0.34271,0.35831,0.3635
